year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2017,10,5,Aku Bukan Terrorist,Arjin Uppal,"Afiq Muiz, Gulshan Grover, Chacha Maembong, Rahul Dev, Farida Jalal, Jalaluddin Hassan, Betty Benafe",Drama,White Merpati Entertainment,[43],
2017,10,5,Vasantha Villas,Roy,"Jeeva, Vadivukarasi, Ben'G, Sangetha, Saminathan",Action,AG Film Factory,,
2017,10,12,Tombiruo: Penunggu Rimba,Seth Larney,"Farid Kamil, Zul Ariffin, Nabila Huda, Faizal Hussein, Hasnul Rahmat",Action / Drama,Astro Shaw-Layar Sunan co-production,[45],
2017,10,12,Shuttle Life,Tan Seng Kiat,"Jack Tan, Angel Chan, Sylvia Chang",Family,More Entertainment,,
2017,10,19,Haunted Hotel,Ryon Lee,"Sushar Manaying, Azman Hassan, Teddy Chin, Alvin Chong, Li Chuan",Horror,,,
2017,10,26,Asli,David Liew,"Gina Wong, Rain Lee, Amit Joyo Bah Chu Hong, Alang Bah Kang",Family,,[47],
2017,10,26,Dubai My Love,Aidilfitri Mohamed Yunos,"Erwin Dawson, Hanna Aqeela, Putri Najuwa, Ben Ali",Romance / Family,,,
2017,11,2,Peransang Rentap,Lina Johor,"Vincent Mallang, Diana Johor, Charlmay, Emmanuel Reuben, Ethel Lampai",Romance / Historical,Unique Twins,[50],
2017,11,9,Jhangri,Kabilan Plondran,"Vicran Elanggoven, Agalyah Maniam, Kuben Mahadevan, Daview Puvanan, K. Karnan",Romance,Jhangri Production House,[51],
2017,11,9,Headlines,James Wong Chee Keong,"Wang Lei, Shaun Chen, Sean Lee, Seck Fook Yee",Horror,Just Work Entertainment,,
2017,11,16,The Kid From The Big Apple 2: Before We Forget,Jess Teong,"Tommy Tam, Tan Qin Lin, Debbie Goh, Shaun Tam",Family,[52],,
2017,11,23,Motor Terbang: Rempit Sampai Langit,Silver Yee,"Ajak Shiro, Nabila Huda, Tauke Jambu, Reen Rahim, Jay Iswazir, Cristina Suzanne",Action / Comedy,,,
2017,11,23,Thottam: The Garden,Arangkannal Rajoo,"KS Maniam, Singai Jegan, Aghilvarman, Thana, Ruban, Vivian Chong",Drama,Blueye Productions,[53],
2017,11,30,Aasaan,S. D. Puvanendran,"S. Haridhass, Shashi Tharan, Seelan Manoheran, Saresh D'seven",Action,Mandarin-language film,,
2017,11,30,Pinjamkan Hatiku,Osman Ali,"Ayda Jebat, Shaheizy Sam, Farid Kamil, Lia Natalia, Normah Damanhuri",Romance,Suhan Movies & Trading,[54],
2017,12,7,"Papa, Come Home",Nick Wong & Chong Shee Lin,"Jack Lim, Jayden Sow, Jieying Tha, Kenji Sawahii",Family,The Film Engine,[58],
2017,12,7,Jibam,Che Mie,"Mohd. Ariff Abdullah, Bohari Ibrahim, Syafie Naswip, Kazar Saisi",Drama,Spektra Selasih,,
2017,12,21,Brotherhood,Silver Yee,"Eric Lin, Bernard Hiew, Hanz Koay, Sky Kang, January So, Sherlyn Seo",Action,[59],,
2017,12,21,KL Wangan: Bikin Gempak,Pekin Ibrahim,"Faizal Hussein, Pekin Ibrahim, Kazuto Soon, Emily Lim",Action,Malayflix Movies,[60],
2018,1,11,Busker,Kye Fariz,"Hafeez Mikail, Daiyan Trisha, Anas Ridzuan, Bulan, Lia Natalia, Mas Khan",Romance,Astro Shaw,[1],
2018,1,18,Best Story,"Teddy Chin, JY Teng & Eden Wan","Jack Lim, Jack Yap, Eric Lin, Yoke Chen, Wayne Cai, Jane Ng",Drama,Lomo Pictures,[2],
2018,1,25,Bukan Cinta Malaikat,Aziz M. Osman,"Nora Danish, Fachry Albar, Ashraf Muslim, Donita, Bonda Afida, Dynas Mokhtar",Romance,Mandarin-language film,,
2018,2,1,Makrifat Cinta,Kamal G,"Syamsul Yusof, Nora Danish, Nabila Huda, Adi Putra, Aznil Nawawi, Puteri Balqis, Sabrina Ali",Drama,Dhananwoodd Films,[4],
2018,2,15,Badang,Abdul Razak Mohaideen,"Aliff Syukri, Fasha Sandha, Azhari Mohd Zain, Aminah Rhapor, Fauzi Nawawi, Fareez Fauzi",Action,FiTA Studios,[5],
2018,2,15,A House of Happiness,JY Teng,"Richard Ng, Mimi Chu, Chan Fong, Cheryl Lee",Family,Lomo Pictures,,
2018,2,22,Surf This Love: Gelora Juara,Waan Hafiz,"Shukri Yahaya, Cristina Suzanne, Pekin Ibrahim, Josiah Hogan, Ardell Aryana",Comedy / Romance,,,
2018,2,22,Amazing Titanman,Eddie Tiger,"Jaguar Lim, Namewee, Mehrdad Razavi Mozart, Azman Hassan",Comedy / Science Fiction,,[7],
2018,3,1,Bidong The Boat People,Yusof Kelana,"Taufik Hanafi, Irene Wong, Livonia Ricky, Zamree",Historical,YKS Film Maker,[9],
2018,3,8,KL Special Force,Syafiq Yusof,"Syamsul Yusof, Rosyam Nor, Fattah Amin",Action,Viper Studios-Skop Production-Damofa Productions co-production,[10],
2018,3,8,Get Hard Tongkat Ali,Chan Wai Cheong,"JC Chee, Juwei Teoh, Sarah Lian, Emily Kong, Elvis Chin",Comedy,Storideas,,
2018,3,15,Lee Chong Wei: Rise Of The Legend,Teng Bee,"Tosh Chan, Jake Eng, Ashley Hua, Rosyam Nor, Yeo Yann Yann, Mark Lee, Freddie Wong, Bernard Hiew",Drama / Sports,,,
2018,3,15,33km From KL,K. S. Umaagaanthan,"Ben G, Kavi Maran, Logeswaran, Ananthan Muniandy",Crime,KS Armada Megah,[12],
2018,3,22,Hantu Wangan,Ahmad Idham,"Achey Bocey, Nur Risteena, Ruminah Sidek",Comedy,Aifa Motion Pictures,,
2018,3,29,Enjin No. 9,Raja Azmi,"Kazar, Tajul Arif, Sharifah Shahira, Ayuni Asyiqin",Comedy,,,
2018,4,5,Dukun,Dain Said,"Umie Aida, Faizal Hussein, Adlin Aman Ramlie, Namron, Sofi Jikan",Horror / Thriller,Astro Shaw,[16],
2018,4,19,Villavan,Vassan Kumaran,"Vinod Mohan, Sangeeta Krishnasamy, Logan Nathan",Action,,,
2018,5,10,Shun Pong O,David Thian Thor Wei,"Shinny Tan, Kim Ho Won, Sherlyn Seo, Philip Keong, Phoebe Ooi, Jin Ju Hyung",Romance,DAA Production,[18],
2018,5,17,Sughamaai Subbulakshmi,Karthik Shamalan,"Saresh D7, Punitah Shanmugam, Bagya Arivuckarasu, Kuben Mahadevan, G Crack Karnan",Romance,Mandarin-language film,,
2018,5,24,Million Loves In Me,Sampson Yuen,"John Y, Lo Koon Lan, Wilson Lee, Ruby Yap, Hiro Hayama",Drama,MA Productions House,[19],
2018,6,7,Impermanence Life,Lai Kim Koon,"Loo Chin Mei, Jovean Yee, Lai Jiun Yong",Family,Cao Min Pictures,[21],
2018,6,14,Qhaliq,Rosli Mohd Taib,"Hairul Azreen, Aliff Yasraff, Nur Risteena",Action,Mandarin-language film,,
2018,6,21,This Is Pilah,Rosdi Mat Dhali,"Juzzthin, Zaidatul Iesna Mohd Raus, Kazar, Eliza Mustafa",Comedy,Aifa Motion Pictures,[22],
2018,6,21,Blue Tears,Zhu Dan & Wang Jiang,"Wong Yat Fei, Clara Wong, Xie Ming Yu",Historical,Global China Film,[23],
2018,6,28,Blok 404: Hidup Sampai Mati,Isma,"Zamarul Hisham, Raja Azri, Nur Risteena, Amar Asyraf",Mystery,[24],,
2018,6,28,Ghora,Devendran Arunasalam,"G Crack Karnan, Mugen Rao, Yasmin Nadiah, Sara Baskin, Velarasan, Sathish Kumar",Horror,,,
2018,7,5,Atcham Thavir,S. S. Vikneswaran & Karthik Shamalan,"Gana, Uthaya, Geetha, Aanantha",Comedy,JPS Consultancy & Training,[27],
2018,7,19,Buyer Beware,Jeffrey Chiang,"Carlos Chan, Bryant Mak, Carmen Soup",Horror,Tamil-language film,,
2018,7,26,Vedigundu Pasangge,Vimala Perumal,"Denes Kumar, Sangeeta Krishnasamy, Thangamani Velayudan, David Anthony, Seelan Manoheran",Action / Comedy,MM2 Entertainment,[28],
2018,7,26,Pulang,Kabir Bhatia,"Remy Ishak, Puteri Aishah Sulaiman, Azrel Ismail, Erwin Dawson, Juliana Evans",Biography / Drama / Historical,,,
2018,8,9,Hantu Kak Limah,Mamat Khalid,"Awie, Delimawati, Rab Khalid, TJ Isa, Sharwani, Zul Ariffin, Uqasha Senrose, Ropie",Comedy / Horror,Astro Shaw,[31],
2018,8,16,Wheely,Yusry Abdul Halim,"Zizan Razak, Johan, Lisa Surihani, Norman Abdul Halim, Felix Mayer, Linus Kraus, Josephine Schmidt",Action / Animation / Comedy,KRU Studios,,
2018,8,16,Thirudathey Papa Thirudathey,Shalini Balasundaram,"Saresh D7, Shalini Balasundaram, Kabil Ganesan, Yuvaraj Krishnasamy",Action / Comedy / Romance,Story Films,[32],
2018,8,30,Munafik 2,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Fizz Fairuz, Mawi, Fauzi Nawawi, Nasir Bilal Khan, Rahim Razali",Horror,[33],48 million,2.5 million
2018,9,6,One Two Jaga,"Nam Ron, Mohd Shafiq & Pitt Haniff","Zahiril Adzim, Rosdeen Suboh, Ario Bayu, Timothy Castillo, Iedil Putra",Action / Drama,TGV Pictures,[35],
2018,9,13,Rise: Ini Kalilah,"Prem Nath, Saw Teong Hin & Nik Amir Mustapha","Remy Ishak, Mira Filzah, Sangeeta Krishnasamy, Jack Tan, Shashi Tharan, Jenn Chia",Drama,MM2 Entertainment,[36],
2018,9,20,Neeyum Naanum,Bala Ganapathi William,"Bala Ganapathi William, Jasmin Micheal, Kavitha Thiagarajan, Suhan",Comedy / Romance,BGW Studios,[37],
2018,9,20,Langsuir,Osman Ali,"Syafiq Kyle, Hannah Delisha",Horror,Early Bird Productions,,
2018,9,27,Tangisan Akinabalu,Jurey Latiff,"Yuri Mejal, Phanthegerow, Syaiful",Horror,[38],,
2018,9,27,PASKAL,Adrian Teh,"Hairul Azreen, Ammar Alfian, Henley Hii, Taufik Hanafi",Action / Thriller,"Asia Tropical Films, Golden Screen Cinemas, Multimedia Entertainment, & Astro Shaw",28.98 million,10 million
2018,10,11,Kalla: Hidup Atau Mati,Wan Hasliza,"Faizal Hussein, Farali Khan, Vanida Imran, Azhan Rani, Faizal Hussein, Farali Khan, Azhan Rani, Haeryanto Hassan",Action / Drama,Empire Film Solution,[41],
2018,10,25,Gol Dan Gincu Vol. 2,Umi Salwana Omar,"Diana Danielle, Ummi Nazeera, Sharifah Amani, Sazzy Falak, Syafiq Kyle, Aedy Ashraf",Comedy / Drama,,,
2018,11,1,Operasi X,Sandosh Kesavan,"Aaron Aziz, Awie, Yusof Haslam, Nasir Bilal Khan, Hairul Azreen",Action / Crime,Dream Pictures Production,[43],
2018,11,8,7ujuh,Raja Mukhriz Raja Ahmad Kamaruddin,"Johan As'ari, Cristina Suzanne, Siti Saleha, Aeril Zafrel, Pekin Ibrahim, Dee Dee Nash, Riz Amin, Marsha Milan Londoh, Faizal Hussein",Horror / Thriller,Primeworks Studios,[44],
2018,11,15,Mahaguru,Z Lokman,"Mokhtaruddin, Alif AF, Mie Raja Lawak, Aman Shah",Action,Bismi Adira Production,[45],
2018,11,22,Polis EVO 2,"Joel Soh, Andre Chiew","Zizan Razak, Shaheizy Sam, Raline Shah, Erra Fazira, Hasnul Rahmat, Mike Lucock, Tanta Ginting, Soffi Jikan, Syafie Naswip, Hairul Azreen",Action,Astro Shaw,22.45 million,8 million
2018,11,29,Guang,Quek Shio Chuan,"Kyo Chen, Emily Chan, Ernest Chong",Family,Preceded by Polis Evo (2015),,
2018,12,6,Who Is The Champion?,John Lee,"Alien Huang, Jasmine Lee, Judy Chou",Action / Dance / Drama,Mega Films Distribution,[48],
2018,12,6,3AM,Azlan Shahril,"Norman Hakim, Jalaluddin Hassan, Dynas Mokhtar, A. Galak, Rahim Omar, Allana Amir",Horror,Bright Sun Media,,
2018,12,13,A Stolen Life,"Lin Shuhung, Kee Lai Koon","Eric Suen, Tong Bing Yu, Yin Yanping, Zhu Yaying",Thriller,MM2 Entertainment,,
2018,12,27,Awang Gerudi,Z. Lokman,"Aprena Manrose, Zoey Rahman, Ika Nabila",Comedy,,[50],
2019,1,17,Felina,Sandosh Kesavan,"Raja Ilya, Shafiq Jamil, Nur Qistina Raisah, Zaidi Omar",Horror,,,
2019,1,17,Lease of Life,Lai Kim Koon,"Henry Thia, Lim Ching Miau, Lyndie Ong, Chloe Chan",Drama,,,
2019,1,24,XX-Ray 3,Aziz M. Osman,"Izzue Islam, Nonny Nadirah, Dazrin Kamarudin, Jalaluddin Hassan, Saiful Apek",Science fiction,,,
2019,1,31,Bella & Jamie,Ghaz Abu Bakar,"Liyana Jasmay, Juliana Evans, Izzue Islam, Khir Rahman, Sharifah Nadia, Dynas Mokhtar",Drama,,,
2019,2,5,A Journey of Happiness,JY Teng,"Joyce Cheng, Lo Hoi-pang, Lin Min-Chen, Ah Niu, Alex Lam, Jerry Lamb",Comedy,,,
2019,2,5,Amazing Spring,Nick Wong,"Cedric Loo, Sharon Yeung Pan Pan, Law Kar Ying, Jack Lim",Comedy / Drama / Musical,,,
2019,2,21,Misteri Dilaila,Syafiq Yusof,"Zul Ariffin, Elizabeth Tan, Rosyam Nor, Sasqia Dahuri",Thriller,,,
2019,2,28,Satte,Ray Dinesh David,"Haridhass S., Lingeshvaran Maniam, Kuben Mahadevan, Senthil Kumaran Muniandy, Sangkari Elancheran",Thriller,,,
2019,3,7,Kuttram Seiyel,"Venkatesh, Bharathirajaa","Bose Venkat, Vijith, Dr S Selvamuthu, Dheena",Action / Crime,,,
2019,3,14,Bikers Kental 2,Mohd Helmi Yusof,"Zizan Razak, Afdlin Shauki, Awie, Amerul Affendi, Bront Palarae",Comedy,,,
2019,3,21,Upin & Ipin: Keris Siamang Tunggal,"Ahmad Razuri Roseli, Adam Amiruddin, Syed Nurfaiz Khalid Syed Ibrahim","Asyiela Putri, Ahmad Mawardi, Mohd Amir Asyraf, Ernie Zakri",Animation,,26.19 million,20 million
2019,3,28,Red Storm,Michael Chuah,"Henry Thia, Zhang Bo Nan, Li AI Jin, Michael Chuah, Henley Hii",Action,,,
2019,4,4,Tiada Tajuk,Asmawi Ani,"Mawi, Hazama Azmi, Along Cham, Joey Daud",,,,
2019,4,11,Fly by Night,Zahir Omar,"Sunny Pang, Jack Tan, Fabian Loo, Bront Palarae",Thriller / Crime,,,
2019,4,11,Bu,Jeany Amir,"Remy Ishak, Nadiya Nissa, Dian P. Ramlee, Iedil Putra, Nadia Brian, Rashidi Ishak, Mawar Rashid, Wan Hanafi Su",Drama,,,
2019,4,18,Homestay: Permainan Maut,Kay Shan,"Ruminah Sidek, Sofea Shaheera, Asward Naslim, Kay Shan, Siva Garuda",Horror,,,
2019,4,18,Two Sisters,James Lee,"Emily Lim, Lim Mei Fen",Thriller,,,
2019,5,30,Supermum,Wong Kai Hiung,"Eliza Wong, Remon Lim, Joey Leong",Family,,,
2019,6,27,Azhaggiye Thee,Loganathan,"Saresh D7, Latha, Gunasegaran, Yuvaraj",Drama,,,
2019,7,18,Kali Muni Tharisanam,DTS Indran,"Ben G, Nithya Sree, Jeganathan",Mystery,,,
2019,8,8,BoBoiBoy Movie 2,Nizam Abdul Razak,"Nur Fathiah Diaz, Fadzli Mohd Rawi, Dzubir Mohammed Zakaria, Wong Wai Kay, Nur Sarah Alisya Zainal Rashid, Yap Ee Jean",Animation / Comedy,,29.57 million,7 million
2019,8,15,Warkah,Mohd Soupi Zami,"Namron, Syazwan Zulkifli, Isyariana, Mohd Wafiy, Puteri Rayyana Rayqa",Drama,,,
2019,8,22,Kron,Mohd Soupi Zami,"Zahiril Adzim, Dayana Roza, Aman Graseka, Opie Zami",Mystery / Drama,,,
2019,8,29,Sangkar,Kabir Bhatia,"Zul Ariffin, Remy Ishak, Mira Filzah, Nik Adam Mika",Action,,,
2019,9,5,Wangi,Mohd Latiff Zami,"Erra Fazira, Sharnaaz Ahmad, Nabila Huda, Syazwan Zulkifli",Horror,,,
2019,9,12,Dendam Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Namron, Tony Eusoff, Nadiah M. Din, Nadia Aqilah",Horror / Romance,,,
2019,9,12,M for Malaysia,"Dian Lee, Ineza Roussille",Mahathir Mohamad,Documentary,,,
2019,9,12,Suatu Ketika,Prakash Murugiah,"Namron, Pekin Ibrahim",History / Drama,,,
2019,9,19,Venpa,K. Kavi Nanthan,"Yuvaraj Krishnasamy, Agalyah Maniam, Thevaguru Suppiah, Nanthini Sugumaran",Romantic Comedy,,,
2019,9,26,Motif,Nadiah Hamzah,"Sharifah Amani, Rosyam Nor, Iedil Putra, Taqim Zaki",Thriller / Darama,,,
2019,9,26,Ennaval,Saran Z,"C.Kumaresan, Sangeeta Krishnasamy, Vasanth Sarna",Horror / Romance,,,
2019,10,3,Hero: Jangan Bikin Panas,Azizi Chunk,"Hisyam Hamid, Bell Ngasri, Mark Adam",Action / Comedy,,,
2019,10,3,Walk with Me,Ryon Lee Eng Keong,"Michelle Wai, Alex Lam, Qi Yuwu, Anna Ng, Richard Ng",Horror / Thriller,,,
2019,10,10,Geran,Areel Abu Bakar,"Namron, Fatimah Abu Bakar, Khoharullah, Feiyna Tajudin",Action,,,
2019,10,17,Kolong,Zul Abu Kassim,"Wan Raja, Luthya Sury Widjaja, Annie Arifin",Horror,,,
2019,10,24,Anak Perjanjian Syaitan,Helmi Yusof,"Nadzmi Adhwa, Chacha Maembong, Jasmin Hamid, Shahrulnizam Noor",Horror,,,
2019,10,31,Pusaka,Razaisyam Rashid,"Syafiq Kyle, Mimi Lana, Hafidz Roshdi, Farhanna Qismina, Ogy Ahmad Daud, Faizal Hussein",Horror,,,
2019,10,31,7 Hari: Kisah Cinta Langkawi,Anwardi Jamil,"Josiah Hogan, Mark Adam, Peter Davis, Chi Azim",Romantic Comedy,,,
2019,11,14,Pulanaivu,"Shalini Balasundaram, Sathish Natarajan","Shaila V, Shalini Balasundaram, Kabil Ganesan, Saran Manokaran",Thriller / Crime,,,
2019,11,14,KL Vampires,Daven Raghavan,"Raja Ilya, Josiah Hogan, Aeril Zafrel, Reen Rahim, Doni Alamsyah, Pablo Amirul",Action,,,
2019,11,21,Wira,Adrian Teh,"Hairul Azreen, Henley Hii, Fify Azmi, Dain Said, Ismi Melinda, Yayan Ruhian, Hilal Azman",Action,,,
2019,11,21,M.O.X: Misi Operasi X,Zulkeflie M. Osman,"Ebi Kornelis, Tya Arifin, Shareeta Selvaraj, Wan Adi Rafuan Datuk Rashid",Action / Science Fiction,,,
2019,11,28,Ejen Ali: The Movie,Usamah Zaid,"Ida Rahayu, Azman Zulkiply, Noorhayati Maslini, Shafiq Isa, Fadhli Shafian",Animation / Comedy,,30.05 million,6.5 million
2019,11,28,Metro Maalai,Haren Kaveri & Shobaan Pillay,"Sathish, Punitha Shanmugam, Karishma, Kumanavannan, Kay",Romance / Drama,,,
2019,12,5,Garang,T. Kanageswaran,"Pablo Amirul, Ahmad Maembong, Osman Omar, John Elijah, Chacha Maembong, Emma Maembong",Action / Sport / Drama,,,
2019,12,5,Lucky Blockchain,Bryan Gao,"Benny Sii Tuong Kai, Koe Yeet, Liaw Ket Henn, James Wong",Action / Comedy,,,
2019,12,12,Banglo No. 99,Khir Mohd Noor,"Johan As'ari, Yusof Haslam, Hafeez Mikail, Bkay Nair, Camelia Natasya kmn, Harun Hashim",Thriller,,,
2019,12,19,Busut Bonang,Khalid Nadzri,"Nadzmi Adhwa, Along Eyzendy, Jasper Supayah, Rashidah Jaafar, Sahronizam Noor, Hairi Safwan, Aloy Paradoks, Abby Nadzri",Horror / Comedy,,,
2020,1,2,At Rainbow's End 2,Mark Lee,"Sharmini Ramesh, Susila Devi, Morgan Chandra Dass",Documentary,,,
2020,1,9,Suraya,Feisal Azizuddin,"Farihin Ufiya, Ainul Aishah, Amir Rahim, Azhar Amir",Horror,,,
2020,1,16,The Garden of Evening Mists,Tom Shu-Yu Lin,"Angelica Lee, Hiroshi Abe, Serene Lim, John Hannah, David Oakes",Drama,,[2],
2020,1,25,The God of Wealth,Jon Chong Chung Hoe,"Eddy Ko, Jacky Kam, Frost Yaw, Benny Sii Tuong Kai",Comedy,,,
2020,1,25,A Moment of Happiness,Tai Min Hwee,"Min Chen Lin, Tul Pakorn, Chan Fong, Danny One, Thian Siew Kim",Comedy,,[3],
2020,1,30,Fight Lah! Kopitiam,Lai Kin Hoong,"Jack Lim, Cedric Loo, Wan Wai Fun, Steve Yap",Comedy,,,
2020,2,6,M4M4,Eyra Rahman,"Nabila Huda, Bella Dowanna, Faizal Hussein, Kodi Rasheed, Ungku Haris, Niezam Zaidi, Izzy Reef, Eyra Hazali, Amanda Hariz",Horror / Thriller,,,
2020,2,6,Good Wealth 2020,Teddy Chin,"Bob Lam, Alvin Chong, Gan Mei Yan, Tou Kyzer, Jordan Voon, Sampson Chew, Loo Aye Keng",Comedy,,[4],
2020,2,13,Santhittha Naal Muthal,V. Sheela Pravina,"Nawinia Murali, Mervin, Kishalini",Romance,,,
2020,2,20,Rock 4: Rockers Never Dai,Mamat Khalid,"Sharwani, Hazama Azmi, Adam John, Nazimi Fahmi, Bulan Terry",Comedy / Drama / Musical,,,
2020,2,20,Unakkagathane,Srikanth Subramaniam,"Siva Shankar, Yasmin Nadiah",Drama,,,
2020,2,27,Ratu Kala Jengking,Bade Hj. Azmi,"Nadia Brian, Amar Asyraf, Fizz Fairuz, Firman Siagan, Eyra Hazali, Fauziah Nawi",Horror,,,
2020,3,5,Jodoh Syaitan,Ismail Bob Hasim,"Soffi Jikan, Aprena Manrose, Abam, Jay Iswazir, Kamarul Yusoff, Fauziah Nawi",Horror / Comedy,,,
2020,3,5,Paakaati Po,Kathir Raven S,"Kathir Raven S, Santhini Antony, Sai Sangeetha, Pavin Raymond, Aadith",Romantic Comedy,,,
2020,3,12,Bulan Dan Pria Terhebat,Ghaz Abu Bakar,"Zizan Razak, Zahirah MacWilson, Khir Rahman, Bell Ngasri, Maya Karin",Action / Comedy,,,
2020,3,19,Roh,Emir Ezwan,"Farah Ahmad, Mhia Farhana, Harith Haziq, Namron, Junainah",Horror / Drama,,,
2020,3,19,Eye On The Ball,Chen Yih Wen,"Sunny Shalesh, Asri Arshad, Azwan Azhar, Rollen Marakim",Documentary,,,
2020,3,26,Town Mall,Eizlan Yusof,"Eizlan Yusof, Reen Rahim, Intan Ladyana, Nynaa Harizal, Jalaluddin Hassan",Horror,,,
2020,3,26,Kenderaan Berat Ikut Kiri,Jefry Talib,"Syafie Naswip, Farhanna Qismina, Ropie, Sathiya",Comedy,,,
2020,3,26,Escape,Ikhwansha Hazer,"Kamal Adli, Elizabeth Tan, Amar Asyraf, Zamarul Hisham, Jalaluddin Hassan, Riz Amin, Jue Aziz, Pablo Amirul, Fiza Fukazawa",Thriller,,,
2020,4,2,Takut Ke Tak,Muzzamer Rahman,"Nabil Aqil, Fabian Loo, Ika Nabella, Arwind Kumar, Han Zalini",Horror / Comedy,,,
